endowment_initial,Previous_Contribution,0.0,2.0,4.0
30,0.0,0.6088082901554405,0.27461139896373055,0.11658031088082901
30,2.0,0.27424242424242423,0.37727272727272726,0.3484848484848485
30,4.0,0.14869888475836432,0.4368029739776952,0.4144981412639405
60,0.0,0.5179856115107914,0.26618705035971224,0.2158273381294964
60,2.0,0.3173913043478261,0.26956521739130435,0.41304347826086957
60,4.0,0.10401891252955082,0.2765957446808511,0.6193853427895981
48,0.0,0.5257731958762887,0.28350515463917525,0.19072164948453607
48,2.0,0.26243093922651933,0.3287292817679558,0.4088397790055249
48,4.0,0.14903846153846154,0.36778846153846156,0.4831730769230769
24,0.0,0.6013071895424836,0.3202614379084967,0.0784313725490196
24,2.0,0.3170731707317073,0.40487804878048783,0.2780487804878049
24,4.0,0.2734375,0.421875,0.3046875
40,0.0,0.5466666666666666,0.29333333333333333,0.16
40,2.0,0.2912621359223301,0.2621359223300971,0.44660194174757284
40,4.0,0.17123287671232876,0.2945205479452055,0.5342465753424658
