endowment_initial,previous_cumulative_contribution_binned,0.0,2.0,4.0
24,"[0,24)",0.23214285714285715,0.4642857142857143,0.30357142857142855
24,"[24,48)",0.20833333333333334,0.4583333333333333,0.3333333333333333
24,"[48,72)",0.25,0.4523809523809524,0.2976190476190476
24,"[72,96)",0.31,0.47,0.22
24,"[96,120)",0.5370370370370371,0.2962962962962963,0.16666666666666666
24,≥120,0.8181818181818182,0.15151515151515152,0.030303030303030304
30,"[0,24)",0.09444444444444444,0.3888888888888889,0.5166666666666667
30,"[24,48)",0.1318181818181818,0.38636363636363635,0.4818181818181818
30,"[48,72)",0.22794117647058823,0.3860294117647059,0.3860294117647059
30,"[72,96)",0.22142857142857142,0.4642857142857143,0.3142857142857143
30,"[96,120)",0.382183908045977,0.4109195402298851,0.20689655172413793
30,≥120,0.6795774647887324,0.2007042253521127,0.11971830985915492
40,"[0,24)",0.1111111111111111,0.4722222222222222,0.4166666666666667
40,"[24,48)",0.2222222222222222,0.2962962962962963,0.48148148148148145
40,"[48,72)",0.23333333333333334,0.31666666666666665,0.45
40,"[72,96)",0.3484848484848485,0.22727272727272727,0.42424242424242425
40,"[96,120)",0.3333333333333333,0.3333333333333333,0.3333333333333333
40,≥120,0.4791666666666667,0.10416666666666667,0.4166666666666667
48,"[0,24)",0.11607142857142858,0.3125,0.5714285714285714
48,"[24,48)",0.1388888888888889,0.3333333333333333,0.5277777777777778
48,"[48,72)",0.10119047619047619,0.40476190476190477,0.49404761904761907
48,"[72,96)",0.205,0.36,0.435
48,"[96,120)",0.33796296296296297,0.3611111111111111,0.30092592592592593
48,≥120,0.7196969696969697,0.19696969696969696,0.08333333333333333
60,"[0,24)",0.07777777777777778,0.26666666666666666,0.6555555555555556
60,"[24,48)",0.16363636363636364,0.23636363636363636,0.6
60,"[48,72)",0.09558823529411764,0.27941176470588236,0.625
60,"[72,96)",0.10714285714285714,0.35,0.5428571428571428
60,"[96,120)",0.3045977011494253,0.27586206896551724,0.41954022988505746
60,≥120,0.5845070422535211,0.21830985915492956,0.19718309859154928
