endowment_initial,spent_ratio_binned,0.0,2.0,4.0
24,"[0,30%)",0.27450980392156865,0.48366013071895425,0.24183006535947713
24,"[30%,60%)",0.38349514563106796,0.3883495145631068,0.22815533980582525
24,≥60%,0.5590551181102362,0.25196850393700787,0.1889763779527559
30,"[0,30%)",0.2191780821917808,0.3715753424657534,0.4092465753424658
30,"[30%,60%)",0.34121621621621623,0.38006756756756754,0.27871621621621623
30,≥60%,0.4068627450980392,0.3627450980392157,0.23039215686274508
40,"[0,30%)",0.2781456953642384,0.31788079470198677,0.40397350993377484
40,"[30%,60%)",0.3082706766917293,0.2857142857142857,0.40601503759398494
40,≥60%,0.325,0.15,0.525
48,"[0,30%)",0.18294849023090587,0.3552397868561279,0.46181172291296624
48,"[30%,60%)",0.3756345177664975,0.3197969543147208,0.30456852791878175
48,≥60%,0.5333333333333333,0.06666666666666667,0.4
60,"[0,30%)",0.17184265010351968,0.28778467908902694,0.5403726708074534
60,"[30%,60%)",0.3464052287581699,0.25163398692810457,0.4019607843137255
60,≥60%,0.0,0.0,1.0
