Unnamed: 0,id,num_partida,experiment,control_reward,control_wealth,control_uncertainly,always_win,num_rondes,usuaris_registrats,status,ronda_actual,objectiu_aconseguit,total_contributed,total_social_action,data_fi_ronda,date_creation,date_start,date_end,comentari,target_distance,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0,1001,1,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,134,134.0,2018-04-23 08:59:08.955923,2018-04-23 08:44:27.210622,2018-04-23 08:55:20.392102,2018-04-23 08:58:41.992460,,[102  84  70  52  30  16   4  -4 -10 -14],102,84,70,52,30,16,4,-4,-10,-14
1,1002,2,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,134,134.0,2018-04-23 09:30:37.683828,2018-04-23 09:21:15.310519,2018-04-23 09:26:50.019495,2018-04-23 09:30:10.743319,,[ 98  76  58  40  28  16   6  -2 -10 -14],98,76,58,40,28,16,6,-2,-10,-14
2,1003,3,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,158,158.0,2018-04-23 09:52:59.347972,2018-04-23 09:41:36.629757,2018-04-23 09:48:49.632920,2018-04-23 09:52:32.383493,,[100  80  62  44  24   4 -14 -24 -32 -38],100,80,62,44,24,4,-14,-24,-32,-38
3,1004,4,xAire_cccb,SOCIAL,UNEQUAL-L,0,0,10,6,FINISHED,11,1,132,132.0,2018-04-23 10:09:38.924262,2018-04-23 10:00:42.820366,2018-04-23 10:05:41.238384,2018-04-23 10:09:11.959802,,[106  96  88  74  64  48  34  20   4 -12],106,96,88,74,64,48,34,20,4,-12
4,1005,5,xAire_cccb,SOCIAL,UNEQUAL-L,0,0,10,6,FINISHED,11,1,132,132.0,2018-04-23 10:29:57.011460,2018-04-23 10:16:24.540307,2018-04-23 10:26:13.791454,2018-04-23 10:29:30.045708,,[102  88  74  60  46  36  20   4  -8 -12],102,88,74,60,46,36,20,4,-8,-12
5,1006,6,xAire_cccb,SOCIAL,UNEQUAL-L,0,0,10,6,FINISHED,11,1,130,130.0,2018-04-23 10:43:39.214089,2018-04-23 10:34:16.985291,2018-04-23 10:39:26.997820,2018-04-23 10:43:12.250648,,[100  84  64  46  34  22  10   0  -6 -10],100,84,64,46,34,22,10,0,-6,-10
6,1007,7,xAire_cccb,SOCIAL,EQUAL,0,0,10,6,FINISHED,11,1,126,126.0,2018-04-23 11:00:33.334011,2018-04-23 10:49:50.868414,2018-04-23 10:56:10.918638,2018-04-23 11:00:06.404067,,[104  88  66  48  38  30  24   6  -2  -6],104,88,66,48,38,30,24,6,-2,-6
7,1008,8,xAire_cccb,SOCIAL,UNEQUAL-L,0,0,10,6,FINISHED,11,1,128,128.0,2018-04-23 11:22:35.409652,2018-04-23 11:05:53.889450,2018-04-23 11:18:51.188874,2018-04-23 11:22:08.445504,,[104  88  74  58  42  22  14  -4  -8  -8],104,88,74,58,42,22,14,-4,-8,-8
9,1010,10,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,136,136.0,2018-04-23 12:09:32.141580,2018-04-23 11:57:53.854680,2018-04-23 12:05:24.756298,2018-04-23 12:09:05.190068,,[102  86  68  48  32  20  12  -4  -8 -16],102,86,68,48,32,20,12,-4,-8,-16
10,1011,11,xAire_cccb,SOCIAL,EQUAL,0,0,10,6,FINISHED,11,1,146,146.0,2018-04-23 12:34:54.472292,2018-04-23 12:24:59.264834,2018-04-23 12:30:43.906674,2018-04-23 12:34:27.532557,,[106  90  76  58  46  28  14  -2 -16 -26],106,90,76,58,46,28,14,-2,-16,-26
12,1013,13,xAire_cccb,SOCIAL,UNEQUAL-L,0,0,10,6,FINISHED,11,1,132,132.0,2018-04-23 13:30:22.558751,2018-04-23 13:16:54.578329,2018-04-23 13:26:03.384251,2018-04-23 13:29:55.606020,,[102  84  68  58  48  32  18   6  -4 -12],102,84,68,58,48,32,18,6,-4,-12
13,1014,14,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,132,132.0,2018-04-23 13:50:55.137773,2018-04-23 13:37:55.084869,2018-04-23 13:47:05.741053,2018-04-23 13:50:28.185124,,[106  90  76  58  40  26  16   6  -8 -12],106,90,76,58,40,26,16,6,-8,-12
14,1015,15,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,144,144.0,2018-04-23 14:06:11.758063,2018-04-23 13:55:59.667506,2018-04-23 14:02:13.936014,2018-04-23 14:05:44.796911,,[106  90  68  46  28  12  -2 -10 -18 -24],106,90,68,46,28,12,-2,-10,-18,-24
15,1016,16,xAire_cccb,SOCIAL,UNEQUAL-L,0,0,10,6,FINISHED,11,1,136,136.0,2018-04-23 14:24:34.025401,2018-04-23 14:10:31.555636,2018-04-23 14:20:39.953334,2018-04-23 14:24:07.081520,,[102  90  82  70  52  38  24  10  -6 -16],102,90,82,70,52,38,24,10,-6,-16
16,1017,17,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,132,132.0,2018-04-23 14:38:25.057287,2018-04-23 14:30:52.401715,2018-04-23 14:34:31.702100,2018-04-23 14:37:58.093983,,[108  88  72  54  40  24   8   2  -4 -12],108,88,72,54,40,24,8,2,-4,-12
17,1018,18,xAire_cccb,SOCIAL,EQUAL,0,0,10,6,FINISHED,11,0,116,,2018-04-23 14:53:16.567046,2018-04-23 14:44:02.385136,2018-04-23 14:49:37.082162,2018-04-23 14:52:49.605651,,[108  96  84  70  66  54  36  20   6   4],108,96,84,70,66,54,36,20,6,4
18,1020,20,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,122,122.0,2018-04-23 15:34:10.629625,2018-04-23 15:25:23.548096,2018-04-23 15:29:39.182208,2018-04-23 15:33:43.691153,,[106  92  74  54  38  24  16   6   2  -2],106,92,74,54,38,24,16,6,2,-2
19,1021,21,xAire_cccb,SOCIAL,EQUAL,0,0,10,6,FINISHED,11,1,188,188.0,2018-04-23 15:49:42.962714,2018-04-23 15:39:49.641788,2018-04-23 15:46:00.316937,2018-04-23 15:49:16.002763,,[100  86  68  50  28   6 -14 -36 -56 -68],100,86,68,50,28,6,-14,-36,-56,-68
20,1022,22,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,0,114,,2018-04-23 16:07:57.388905,2018-04-23 15:54:54.964434,2018-04-23 16:03:52.558632,2018-04-23 16:07:30.432319,,[106  94  78  74  64  56  44  30  20   6],106,94,78,74,64,56,44,30,20,6
21,1023,23,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,124,124.0,2018-04-23 16:25:16.785357,2018-04-23 16:13:51.472886,2018-04-23 16:21:25.841748,2018-04-23 16:24:49.831789,,[104  86  72  52  34  18   6   0  -2  -4],104,86,72,52,34,18,6,0,-2,-4
22,1024,24,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,132,132.0,2018-04-23 16:40:44.927630,2018-04-23 16:31:40.970015,2018-04-23 16:36:34.190742,2018-04-23 16:40:17.964368,,[104  84  68  54  38  28  20   4  -6 -12],104,84,68,54,38,28,20,4,-6,-12
23,1025,25,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,126,126.0,2018-04-23 16:58:48.627536,2018-04-23 16:47:25.216542,2018-04-23 16:55:04.548165,2018-04-23 16:58:21.671531,,[100  90  72  60  40  28  18   6   2  -6],100,90,72,60,40,28,18,6,2,-6
24,1026,26,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,150,150.0,2018-04-23 17:15:31.809949,2018-04-23 17:03:43.477939,2018-04-23 17:11:46.650568,2018-04-23 17:15:04.848793,,[104  86  68  54  36  18   6  -8 -18 -30],104,86,68,54,36,18,6,-8,-18,-30
25,1027,27,xAire_cccb,SOCIAL,UNEQUAL-L,0,0,10,6,FINISHED,11,1,128,128.0,2018-04-23 17:31:23.348287,2018-04-23 17:20:27.620873,2018-04-23 17:27:39.207333,2018-04-23 17:30:56.381244,,[100  82  62  48  28  14   0  -8  -8  -8],100,82,62,48,28,14,0,-8,-8,-8
26,1028,28,xAire_cccb,SOCIAL,UNEQUAL-H,0,0,10,6,FINISHED,11,1,172,172.0,2018-04-23 17:47:42.442867,2018-04-23 17:38:35.153111,2018-04-23 17:43:58.963610,2018-04-23 17:47:15.497241,,[104  82  64  46  30  10  -6 -20 -36 -52],104,82,64,46,30,10,-6,-20,-36,-52
