user_id,partida_id,endowment_initial,control_wealth,endowment_current,contributed_public_goods,winnings_public_goods,goal_reached,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
10,1,40,EQUAL,4.0,36.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0
11,1,40,EQUAL,16.0,24.0,16.0,1,2.0,4.0,4.0,4.0,0.0,4.0,2.0,0.0,0.0,4.0
12,1,40,EQUAL,22.0,18.0,22.0,1,4.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0
13,1,40,EQUAL,18.0,22.0,18.0,1,4.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,0.0,2.0
14,1,40,EQUAL,18.0,22.0,18.0,1,2.0,2.0,4.0,4.0,0.0,2.0,2.0,2.0,4.0,0.0
15,1,40,EQUAL,16.0,24.0,16.0,1,4.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0
20,2,40,EQUAL,24.0,16.0,24.0,1,4.0,2.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
21,2,40,EQUAL,14.0,26.0,14.0,1,2.0,2.0,2.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0
22,2,40,EQUAL,16.0,24.0,16.0,1,4.0,0.0,0.0,4.0,4.0,2.0,0.0,4.0,2.0,4.0
23,2,40,EQUAL,14.0,26.0,14.0,1,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,4.0
24,2,40,EQUAL,20.0,20.0,20.0,1,4.0,2.0,2.0,4.0,0.0,2.0,4.0,2.0,0.0,0.0
25,2,40,EQUAL,16.0,24.0,16.0,1,2.0,2.0,4.0,0.0,2.0,4.0,4.0,0.0,2.0,4.0
30,3,40,EQUAL,20.0,20.0,20.0,1,4.0,2.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0
31,3,40,EQUAL,18.0,22.0,18.0,1,4.0,2.0,2.0,0.0,2.0,4.0,4.0,0.0,4.0,0.0
32,3,40,EQUAL,24.0,16.0,24.0,1,2.0,0.0,4.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0
33,3,40,EQUAL,14.0,26.0,14.0,1,2.0,4.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0
34,3,40,EQUAL,20.0,20.0,20.0,1,0.0,2.0,4.0,4.0,2.0,0.0,0.0,4.0,0.0,4.0
35,3,40,EQUAL,8.0,32.0,8.0,1,2.0,4.0,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
40,4,40,EQUAL,20.0,20.0,20.0,1,4.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,4.0
41,4,40,EQUAL,18.0,22.0,18.0,1,4.0,0.0,4.0,2.0,0.0,4.0,0.0,4.0,0.0,4.0
42,4,40,EQUAL,24.0,16.0,24.0,1,2.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0
43,4,40,EQUAL,12.0,28.0,12.0,1,2.0,2.0,0.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0
44,4,40,EQUAL,18.0,22.0,18.0,1,4.0,4.0,4.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0
45,4,40,EQUAL,18.0,22.0,18.0,1,4.0,2.0,4.0,0.0,2.0,4.0,2.0,2.0,2.0,0.0
50,5,40,EQUAL,20.0,20.0,20.0,1,4.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0
51,5,40,EQUAL,22.0,18.0,22.0,1,4.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0
52,5,40,EQUAL,18.0,22.0,18.0,1,2.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,4.0,4.0
53,5,40,EQUAL,14.0,26.0,14.0,1,2.0,2.0,4.0,4.0,0.0,4.0,4.0,2.0,0.0,4.0
54,5,40,EQUAL,14.0,26.0,14.0,1,4.0,4.0,4.0,2.0,0.0,4.0,0.0,0.0,4.0,4.0
55,5,40,EQUAL,26.0,14.0,26.0,1,4.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
