Unnamed: 0,id,is_robot,nickname,consent,status,pollution_id,num_jugador,partida_id,num_seleccions,bots,acabat,endowment_initial,endowment_current,contributed_public_goods,winnings_public_goods,savings_public_goods,coins_total,tickets,gender,age_range,educational_level,economic_status,working_status,residence,frame_pr1,frame_pr2,frame_pr3,verification_pr1,verification_pr2,verification_pr3,verification_pr4,enquesta_final_pr1,enquesta_final_pr2,enquesta_final_pr3,enquesta_final_pr4,enquesta_final_pr5,enquesta_final_pr6,enquesta_final_pr7,enquesta_final_pr8,enquesta_final_pr9,enquesta_final_pr10,enquesta_final_pr11,date_tutorial,date_register,date_creation,date_end,comment,contributions,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,no2_level,control_wealth
0,1001,0,0015,1,END,11.0,1.0,1001.0,10,0,1,30,14,16,14,14,14.0,1,M,r4,r4,r3,r3,r11,r2,r3,r1,r2,r2,r1,,r4,r2,r3,r4,r2,r4,r3,r2,r3,r2,"No






",2018-04-23 08:44:57.947705,2018-04-23 08:47:21.078925,2018-04-23 08:43:15.300096,2018-04-23 09:01:32.220633,,[2 2 0 2 2 4 0 4 0 0],2.0,2.0,0.0,2.0,2.0,4.0,0.0,4.0,0.0,0.0,46.23,UNEQUAL-H
1,1002,0,0027,1,END,4.0,5.0,1001.0,10,0,1,60,34,26,34,34,34.0,3,F,r1,r3,r1,r2,r4,r1,r3,r1,r2,r2,r1,,r3,r5,r1,r5,r2,r5,r3,r2,r4,r3,Reduir vehicles privats,2018-04-23 08:45:52.999255,2018-04-23 08:51:28.837925,2018-04-23 08:44:50.000968,2018-04-23 09:01:35.398744,,[4 2 4 4 4 2 4 2 0 0],4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,0.0,0.0,44.6,UNEQUAL-H
2,1003,0,0023,1,END,4.0,6.0,1001.0,10,0,1,60,34,26,34,34,34.0,3,M,r1,r3,r1,r2,r4,r1,r3,r1,r2,r2,r1,,r4,r5,r1,r5,r2,r5,r3,r3,r3,r2,Reduir el transit,2018-04-23 08:46:03.167410,2018-04-23 08:48:51.862025,2018-04-23 08:45:04.919582,2018-04-23 09:00:49.644790,,[4 4 4 4 4 4 2 0 0 0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,44.6,UNEQUAL-H
3,1004,0,41,1,END,11.0,2.0,1001.0,10,0,1,30,12,18,12,12,12.0,1,M,r2,r4,r2,r4,r11,r1,r2,r1,r2,r2,r1,,r4,r5,r1,r4,r2,r5,r3,r3,r3,r3,Penso que encara es necesaria una transformació de la flota d'autobusos que utilitzen combustibles fossils peruna flota totalment electrica,2018-04-23 08:46:37.428358,2018-04-23 08:49:12.312089,2018-04-23 08:45:24.891339,2018-04-23 09:01:54.807923,,[4 2 2 4 4 0 0 0 2 0],4.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,46.23,UNEQUAL-H
4,1005,0,0061,1,END,11.0,3.0,1001.0,10,0,1,30,4,26,4,4,4.0,1,M,r3,r4,r5,r3,r11,r3,r3,r2,r2,r2,r1,,r2,r4,r2,r4,r4,r1,r3,r3,r3,r3,"Breath
More
Love,
Peace


    Mbgj
K
K
L
L
Ll
Ñ
L
L
L
L





Ñlmnnnnnn",2018-04-23 08:47:02.782134,2018-04-23 08:48:54.620886,2018-04-23 08:45:45.345196,2018-04-23 09:01:06.128140,,[2 4 0 2 4 2 4 2 4 2],2.0,4.0,0.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,46.23,UNEQUAL-H
5,1007,0,0127,1,END,11.0,4.0,1001.0,10,0,1,30,8,22,8,8,8.0,1,F,r1,r3,r1,r2,r11,r3,r2,r2,r2,r2,r1,,r3,r4,r3,r4,r3,r2,r3,r1,r5,r3,no se,2018-04-23 08:53:42.043554,2018-04-23 08:55:09.327796,2018-04-23 08:52:52.047756,2018-04-23 09:01:06.740562,,[2 4 4 2 4 2 2 0 0 2],2.0,4.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,46.23,UNEQUAL-H
6,1008,0,0031,1,END,11.0,3.0,1002.0,10,0,1,30,0,30,0,0,0.0,1,F,r6,r2,r3,r3,r11,r1,r3,r1,r2,r2,r1,,r3,r4,r2,r4,r4,r5,r3,r1,r4,r4,F,2018-04-23 09:22:33.605599,2018-04-23 09:26:25.026311,2018-04-23 09:19:51.517655,2018-04-23 09:33:56.463073,,[4 4 4 2 4 4 4 2 2 0],4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,0.0,46.23,UNEQUAL-H
7,1009,0,Meigul,1,END,2.0,1.0,1002.0,10,0,1,30,10,20,10,10,10.0,1,M,r4,r4,r4,r3,r2,r2,r2,r1,r2,r2,r1,,r4,r5,r1,r4,r3,r5,r3,r1,r2,r1,Promote cycling,2018-04-23 09:22:22.522882,2018-04-23 09:23:41.769034,2018-04-23 09:20:43.264289,2018-04-23 09:32:29.057910,,[4 4 4 4 4 0 0 0 0 0],4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,52.38,UNEQUAL-H
8,1010,0,0043,1,END,11.0,4.0,1002.0,10,0,1,30,4,26,4,4,4.0,1,F,r5,r5,r3,r3,r11,r2,r3,r1,r2,r2,r1,,r3,r4,r1,r4,r4,r4,r3,r5,r3,r1,"No

",2018-04-23 09:23:05.644931,2018-04-23 09:25:13.514946,2018-04-23 09:22:08.130738,2018-04-23 09:31:33.738148,,[4 2 4 2 2 4 2 4 2 0],4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,0.0,46.23,UNEQUAL-H
9,1011,0,0039,1,END,6.0,6.0,1002.0,10,0,1,60,32,28,32,32,32.0,3,F,r5,r4,r3,r3,r6,r1,r2,r1,r2,r2,r1,,r3,r4,r3,r4,r3,r5,r2,r3,r3,r3,Ara mateix...no,2018-04-23 09:23:38.741186,2018-04-23 09:26:44.853630,2018-04-23 09:22:17.093092,2018-04-23 09:32:56.759577,,[2 4 2 4 2 2 2 2 4 4],2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,43.8,UNEQUAL-H
